Membrane name;Mixture;Temperature, oC;Composition (component 1), wt;Partial flux MeOH (component 1) kg/m2*h;Partial flux MTBE (component) kg/m2*h;Permeance MeOH (Component 1) Optional, kg/m2*h*kPa;Permeance MTBE (Component 2) Optional, kg/m2*h*kPa;Comment
PAI:SPI (1wt%) asymmetric;meoh_mtbe;40;0,1500;0,893;0,197;;;Modelled Ideal
PAI:SPI (1wt%) asymmetric;meoh_mtbe;40;0,1400;0,869;0,200;;;Modelled Ideal
PAI:SPI (1wt%) asymmetric;meoh_mtbe;40;0,1300;0,844;0,202;;;Modelled Ideal
PAI:SPI (1wt%) asymmetric;meoh_mtbe;40;0,1200;0,816;0,205;;;Modelled Ideal
PAI:SPI (1wt%) asymmetric;meoh_mtbe;40;0,1100;0,786;0,208;;;Modelled Ideal
PAI:SPI (1wt%) asymmetric;meoh_mtbe;40;0,1000;0,752;0,211;;;Modelled Ideal
PAI:SPI (1wt%) asymmetric;meoh_mtbe;40;0,0900;0,715;0,214;;;Modelled Ideal
PAI:SPI (1wt%) asymmetric;meoh_mtbe;40;0,0800;0,673;0,217;;;Modelled Ideal
PAI:SPI (1wt%) asymmetric;meoh_mtbe;40;0,0700;0,626;0,221;;;Modelled Ideal
PAI:SPI (1wt%) asymmetric;meoh_mtbe;40;0,0600;0,572;0,225;;;Modelled Ideal
PAI:SPI (1wt%) asymmetric;meoh_mtbe;40;0,0500;0,511;0,229;;;Modelled Ideal
PAI:SPI (1wt%) asymmetric;meoh_mtbe;40;0,0400;0,440;0,233;;;Modelled Ideal
PAI:SPI (1wt%) asymmetric;meoh_mtbe;40;0,0300;0,357;0,238;;;Modelled Ideal
PAI:SPI (1wt%) asymmetric;meoh_mtbe;40;0,0200;0,259;0,243;;;Modelled Ideal
PAI:SPI (1wt%) asymmetric;meoh_mtbe;40;0,0100;0,142;0,249;;;Modelled Ideal
PAI:SPI (1wt%) asymmetric;meoh_mtbe;40;0,0000;0,000;0,256;;;Modelled Ideal
