Membrane name;Mixture;Temperature, oC;Composition (component 1), wt;Partial flux MeOH (component 1) kg/m2*h;Partial flux MTBE (component) kg/m2*h;Permeance MeOH (Component 1) Optional, kg/m2*h*kPa;Permeance MTBE (Component 2) Optional, kg/m2*h*kPa;Comment
PAI asymmetric;meoh_mtbe;50;0,1500;1,161;0,095;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;50;0,1400;1,130;0,096;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;50;0,1300;1,096;0,097;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;50;0,1200;1,060;0,098;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;50;0,1100;1,019;0,100;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;50;0,1000;0,975;0,101;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;50;0,0900;0,926;0,103;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;50;0,0800;0,871;0,104;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;50;0,0700;0,809;0,106;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;50;0,0600;0,739;0,108;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;50;0,0500;0,658;0,110;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;50;0,0400;0,566;0,112;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;50;0,0300;0,458;0,115;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;50;0,0200;0,332;0,117;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;50;0,0100;0,181;0,120;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;50;0,0000;0,000;0,123;;;Modelled Ideal
