Membrane name;Mixture;Temperature.оС;Composition (component 1). weight;Partial flux сomponent 1. kg/m2*h;Partial flux сomponent 2. kg/m2*h;Permeance сomponent 1. Optional. kg/m2*h*kPa;Permeance сomponent 2. Optional. kg/m2*h*kPa;Comment
PAI asymmetric;meoh_mtbe;70;0.1500;3.128;0.054;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;70;0.1400;3.041;0.055;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;70;0.1300;2.947;0.056;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;70;0.1200;2.844;0.057;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;70;0.1100;2.732;0.057;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;70;0.1000;2.609;0.058;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;70;0.0900;2.472;0.059;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;70;0.0800;2.321;0.060;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;70;0.0700;2.151;0.061;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;70;0.0600;1.960;0.062;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;70;0.0500;1.742;0.064;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;70;0.0400;1.493;0.065;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;70;0.0300;1.205;0.066;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;70;0.0200;0.869;0.068;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;70;0.0100;0.473;0.069;;;Modelled Ideal
PAI asymmetric;meoh_mtbe;70;0.0000;0.000;0.071;;;Modelled Ideal
