Membrane name;Mixture;Temperature.оС;Composition (component 1). weight;Partial flux сomponent 1. kg/m2*h;Partial flux сomponent 2. kg/m2*h;Permeance сomponent 1. Optional. kg/m2*h*kPa;Permeance сomponent 2. Optional. kg/m2*h*kPa;Comment
PervapTM 4101;h2o_etoh;95;0.0080;0.057;0.010;0.0147;0.00000536;Experimental Close to Ideal  DOI: 10.22079/JMSR.2018.88186.1198
PervapTM 4101;h2o_etoh;95;0.0105;0.070;0.018;0.0154;0.00000556;Experimental Close to Ideal  DOI: 10.22079/JMSR.2018.88186.1199
PervapTM 4101;h2o_etoh;95;0.0193;0.159;0.016;0.0182;0.00000716;Experimental Close to Ideal  DOI: 10.22079/JMSR.2018.88186.1200
PervapTM 4101;h2o_etoh;95;0.0247;0.214;0.018;0.0186;0.00000612;Experimental Close to Ideal  DOI: 10.22079/JMSR.2018.88186.1201
PervapTM 4101;h2o_etoh;95;0.0315;0.280;0.018;0.0207;0.00000645;Experimental Close to Ideal  DOI: 10.22079/JMSR.2018.88186.1202
PervapTM 4101;h2o_etoh;95;0.0585;0.608;0.018;0.0247;0.00000732;Experimental Close to Ideal  DOI: 10.22079/JMSR.2018.88186.1203
PervapTM 4101;h2o_etoh;95;0.0728;0.799;0.027;0.0278;0.00001214;Experimental Close to Ideal  DOI: 10.22079/JMSR.2018.88186.1204
PervapTM 4101;h2o_etoh;95;0.0869;0.970;0.027;0.0296;0.00001242;Experimental Close to Ideal  DOI: 10.22079/JMSR.2018.88186.1205
PervapTM 4101;h2o_etoh;95;0.1000;1.135;0.025;0.0309;0.00001170;Experimental Close to Ideal  DOI: 10.22079/JMSR.2018.88186.1206
PervapTM 4101;h2o_etoh;95;0.1341;1.508;0.033;0.0343;0.00001648;Experimental Close to Ideal  DOI: 10.22079/JMSR.2018.88186.1207
PervapTM 4101;h2o_etoh;95;0.1536;1.697;0.033;0.0359;0.00001710;Experimental Close to Ideal  DOI: 10.22079/JMSR.2018.88186.1208
