Membrane name;Mixture;Temperature, oC;Composition (component 1), wt;Partial flux H2O (component 1) kg/m2*h;Partial flux EtOH (component) kg/m2*h;Permeance H2O (Component 1) Optional, kg/m2*h*kPa;Permeance EtOH (Component 2) Optional, kg/m2*h*kPa;Comment
SPI-255 (43,2 mcm);h2o_etoh;40;1;0,785;0,000;0,11;0,00000;Experimental Non-Ideal
SPI-255 (43,2 mcm);h2o_etoh;40;0,8828;0,348;0,002;0,05;0,00040;Experimental Non-Ideal
SPI-255 (43,2 mcm);h2o_etoh;40;0,7561;0,257;0,001;0,04;0,00019;Experimental Non-Ideal
SPI-255 (43,2 mcm);h2o_etoh;40;0,6583;0,441;0,014;0,07;0,00172;Experimental Non-Ideal
SPI-255 (43,2 mcm);h2o_etoh;40;0,49;0,334;0,068;0,05;0,00755;Experimental Non-Ideal
SPI-255 (43,2 mcm);h2o_etoh;40;0,43;0,277;0,057;0,04;0,00601;Experimental Non-Ideal
SPI-255 (43,2 mcm);h2o_etoh;40;0,401;0,282;0,058;0,05;0,00597;Experimental Non-Ideal
SPI-255 (43,2 mcm);h2o_etoh;40;0,2803;0,229;0,057;0,04;0,00530;Experimental Non-Ideal
SPI-255 (43,2 mcm);h2o_etoh;40;0,24;0,107;0,046;0,02;0,00403;Experimental Non-Ideal
SPI-255 (43,2 mcm);h2o_etoh;40;0,0437;0,025;0,016;0,01;0,00103;Experimental Non-Ideal
