Membrane name,Temperature оС,Composition (component 2) MTBE,Поток парциальный MeOH (component 1) кг/м2ч,Поток парциальный MTBE кг/м2ч (Component 2),Проницаемость MeOH (Component 1) Optional,Проницаемость MTBE (Component 2) Optional,Comment
PAI:SPI (1wt%) asymmetric,50,"0,85","1,858","0,178",,,Modelled ideal
PAI:SPI (1wt%) asymmetric,50,"0,86","1,809","0,180",,,Modelled ideal
PAI:SPI (1wt%) asymmetric,50,"0,87","1,755","0,182",,,Modelled ideal
PAI:SPI (1wt%) asymmetric,50,"0,88","1,696","0,185",,,Modelled ideal
PAI:SPI (1wt%) asymmetric,50,"0,89","1,631","0,187",,,Modelled ideal
PAI:SPI (1wt%) asymmetric,50,"0,90","1,560","0,190",,,Modelled ideal
PAI:SPI (1wt%) asymmetric,50,"0,91","1,481","0,193",,,Modelled ideal
PAI:SPI (1wt%) asymmetric,50,"0,92","1,393","0,196",,,Modelled ideal
PAI:SPI (1wt%) asymmetric,50,"0,93","1,294","0,199",,,Modelled ideal
PAI:SPI (1wt%) asymmetric,50,"0,94","1,182","0,203",,,Modelled ideal
PAI:SPI (1wt%) asymmetric,50,"0,95","1,054","0,207",,,Modelled ideal
PAI:SPI (1wt%) asymmetric,50,"0,96","0,906","0,211",,,Modelled ideal
PAI:SPI (1wt%) asymmetric,50,"0,97","0,734","0,215",,,Modelled ideal
PAI:SPI (1wt%) asymmetric,50,"0,98","0,531","0,220",,,Modelled ideal
PAI:SPI (1wt%) asymmetric,50,"0,99","0,290","0,225",,,Modelled ideal
PAI:SPI (1wt%) asymmetric,50,"1,00","0,000","0,231",,,Modelled ideal
